"","data.GSM545818","data.GSM545819","data.GSM545820","data.GSM545821","data.GSM545822","data.GSM545823","data.GSM545824","data.GSM545825","data.GSM545826","data.GSM545827","data.GSM545828","data.GSM545829","data.GSM545830","data.GSM545831","data.GSM545832","data.GSM545833","data.GSM545834","data.GSM545835","data.GSM545836","data.GSM545837","data.GSM545838","data.GSM545839","data.GSM545840","data.GSM545841","data.GSM545842","data.GSM545843","data.GSM545845"
"ENTREZID:10204",8.260214,8.459022,8.424586,7.849249,8.710118,8.374605,8.577051,8.33226,8.618753,8.921543,8.508587,8.125672,7.802839,8.602884,8.380678,6.737416,6.894818,5.244126,6.793116,7.058533,7.516488,6.829088,7.265849,7.573647,8.394034,8.076816,7.753551
"ENTREZID:6272",5.292782,6.008989,4.643856,4.329124,4.560715,5.321928,5.116864,5.498251,4.857981,5.485427,5.638074,4.50462,4.892391,4.852998,6.566815,3.867896,3.584963,3.867896,4.412782,3.498251,3.877744,4.517276,3.857981,3.498251,3.981853,4.517276,4.916477
"ENTREZID:5321",6.217231,7.620586,6.909293,6.279843,6.872829,6.770829,6.381975,5.947199,7.22978,6.733354,7.001127,6.487036,7.059615,6.53294,7.682995,5.733354,4.89724,5.378512,5.472488,5.469235,6.0268,6.375039,4.426265,5.498251,6.409391,5.865424,6.292782
"ENTREZID:406991",9.645839,9.966505,10.246859,9.051481,10.090509,9.707359,10.35105,9.043574,10.165158,9.795877,10.154312,9.911242,10.454196,9.542258,10.384784,8.193772,7.828454,7.878971,8.958553,9.265615,9.349392,8.922436,8.837943,9.081084,9.250062,9.417431,9.382408
"ENTREZID:2760",6.72792,7.078951,6.831624,5.990955,6.520422,6.411087,6.553053,6.195741,6.442943,6.517276,6.352264,5.904484,5.50462,5.776104,7.277985,4.786596,5.004501,4.906891,5.940167,4.277985,4.69488,5.837943,5.311067,4.672425,6.312883,5.993221,5.523562
"ENTREZID:65124",5.827819,5.885086,5.53294,5.137504,5.292782,4.770829,4.666757,5.083213,4.972693,5.872829,5.757557,6.055282,6.199672,5.285402,5.852998,4.070389,3.632268,4.201634,3.837943,5.044394,4.169925,4.892391,2.944858,4.078951,5.569856,4.711495,4.459432
"ENTREZID:10658",8.202614,7.461889,7.185867,7.594698,7.318317,8.108002,8.116864,8.193772,8.062856,8.15127,8.138016,7.729281,7.152792,8.117383,8.221104,6.867896,6.940167,6.318317,5.804776,6.338068,6.114783,7.100137,6.651052,6.553053,7.726559,7.747522,7.631541
"ENTREZID:2289",8.057992,8.026247,7.827184,7.011227,7.556889,8.005063,8.601399,7.498251,7.535275,8.407268,7.483816,8.397889,7.760221,8.329124,8.68545,7.053111,7.528259,5.165912,7.81314,5.760221,6.100137,6.546894,6.506208,6.307429,7.67101,7.1918,6.729281
"ENTREZID:57182",6.811214,7.878358,7.380245,6.820179,7.236493,6.630813,7.210428,6.659639,6.646739,7.334497,7.394891,7.128252,7.818902,6.601399,7.226894,5.0268,5.548437,5.652486,5.318317,6.496654,6.581954,6.642413,4.872829,6.483816,6.380245,6.412782,6.948367
"ENTREZID:51571",8.164907,8.354029,8.371559,8.432959,8.32328,8.307884,8.750205,8.707014,8.417009,8.357552,8.019591,8.440039,6.093814,8.104861,8.497852,7.205549,6.651052,6.927185,5.984134,7.364572,6.659639,7.046578,7.178914,6.760221,8.20799,7.576673,7.640968
"ENTREZID:5551",11.718961,9.595444,10.85479,11.203899,11.096056,10.606035,11.988472,11.771943,11.39033,11.580494,9.946029,10.348728,10.524346,11.038027,10.639069,9.606405,8.750205,8.782671,9.076281,7.852373,7.395748,9.286558,8.950702,8.951576,11.63245,10.728176,10.006186
"ENTREZID:7803",7.397461,7.755555,7.310158,7.400026,7.549977,6.736064,7.08534,6.950702,7.074677,6.847997,6.83289,6.741467,5.635174,6.79831,7.053111,3.906891,5.584963,3.807355,5.626439,4.57289,5.296457,4.738768,5.491853,5.678072,6.88996,7.1918,6.971544
"ENTREZID:57498",5.405992,5.83289,5.247928,5.395748,5.185867,5.296457,5.074677,6.131343,5.459432,5.827819,5.557655,6.066089,5.860466,5.185867,5.672425,4.578939,3.877744,4.446256,3.307429,5.129283,3.292782,4.399171,4.954196,4.419539,5.426265,5.035624,5.635174
"ENTREZID:259291",6,5.263034,5.757557,5.181898,5.744161,5.405992,6.646739,6.412782,6.163901,5.902074,6.022368,6.048759,5.048759,6.217231,5.498251,5.381975,4.491853,3,4.852998,4.847997,4.177918,4.061776,5.76288,4.620586,5.557655,4.478972,5.405992
"ENTREZID:10432",7.427941,6.812498,6.303781,6.757557,6.627899,6.996615,6.151778,7.015694,6.988685,7.011227,6.807355,6.171927,4.378512,7.498251,7.568336,5.100137,5.022368,4.82273,5.095924,4.968091,3.666757,4.877744,5.05745,4.857981,7.255501,6.385431,5.944858
"ENTREZID:3759",6.300124,5.74685,5.760221,5.640968,5.296457,5.584963,5.536053,4.666757,5.617651,5.61471,5.870365,5.84549,6.900867,5.578939,6.521993,4.906891,4.129283,5.121015,5.161888,4.255501,5.968091,5.314697,3.263034,3.776104,5.303781,4.405992,4.765535
